mice_ID,exp_cond,estrous_stage,state_before,retrieval_latency,state_before_comment,1h_food_consumption_before,state_after,state_after_latency,parental_state_after,state_after_comment,1h_food_consumption_after,exp_time,prev_exp,exp_date
BRZZ136.4c,water_deprivation,E,Parental+,120,retrieve both pups,,Agg-,,Parental+,100 retrieval time,,2,all_stressor_2h(20),05/03/20
BRZZ136.4e,water_deprivation,E,Parental+,59,retrieve both pups,,Agg-,,Parental+,551 retrieval time,,2,all_stressor_2h(9),05/03/20
BRZZ371.2f,water_deprivation,E,Parental-,,,,Agg-,,Parental+,build a nest around the pups,,2,all_stressor_2h(16),05/03/20
BRZZ371.2e,water_deprivation,P,Parental+,,build a nest around the pups,,Agg-,,Parental+,build a nest around the pups,,2,all_stressor_2h(16),05/03/20
BRZZ260.4e,water_deprivation,M,Parental-,,,,Agg-,,Parental-,,,1,,11/03/20
BRZZ169.6g,water_deprivation,E,Parental+,,build a nest around the pups,,Agg-,,Parental+,build a nest around the pups,,1,,11/03/20
BRZZ136.4f ,water_deprivation,P,Parental+,338,retrieve both pups,,Agg-,,Parental+,413 retrieval time,,1,,11/03/20
BRZZ371.2h,water_deprivation,E,Parental+,,build a nest around the pups,,Agg-,,Parental+,build a nest around the pups,,2,all_stressor_2h(9),11/03/20
BRAC4924.6d,water_deprivation,P,Parental-,,,,Agg-,,Parental-,more parental than state_before,,1,,19/11/20
BRAC4908.4g,water_deprivation,E,Parental-,,,,Agg-,,Parental-,,,1,,19/11/20
BRAC4908.4h,water_deprivation,D,Parental-,,,,Agg-,,Parental-,,,1,,19/11/20
BRAC4924.6c,water_deprivation,M,Parental-,,retrieve both but not parental,,Agg-,,Parental+,"710 retrieval time, retrieve both pups",,1,,19/11/20
JKAM 3.2e,light_cycle_disturbed,E,Parental+,15,,,Agg-,,Parental+,34 retrieval time,,1,,05/12/19
JKAM2.2g,light_cycle_disturbed,M,Parental+,282,,,Agg-,,Parental+,build a nest around the pups,,1,,06/12/19
JKAM2.2d,light_cycle_disturbed,D,Parental+,,build a nest around the pups,,Agg-,,Parental+,209 retrieval time,,1,,06/12/19
BRZZ329.2c,light_cycle_disturbed,P,Parental+,171,retrieve both pups,,Agg-,,Parental+,"88 retrieval time, retrieve both pups",,1,,07/12/19
BRZZ154.3f,light_cycle_disturbed,D,Parental+,,build a nest around the pups,,Agg-,,Parental+,"535 retrieval time, retrieve both pups",,1,,07/12/19
BRZZ329.2d,light_cycle_disturbed,P,Parental+,97,retrieve both pups,,Agg-,,Parental+,"56 retrieval time, retrieve both pups",,1,,07/12/19
BRZZ144.4i,light_cycle_disturbed,M,Parental+,426,"first retrieval not completely to the nest, retrieve both pups",,Agg-,,Parental+,"218 retrieval time, retrieve both pups",,1,,07/12/19
BRZZ101.5b,light_cycle_disturbed,D,Parental-,,,,Agg-,,Parental+,"188 retrieval time,retrieve both pups",,1,,16/12/19
BRZZ101.5c,light_cycle_disturbed,D,Parental+,263,retrieve both pups,,Agg-,,Parental+,build a nest around the pups,,1,,16/12/19
BRZZ260.2g,light_cycle_disturbed,P-E,Parental+,101,retrieve both pups,,Agg-,,Parental+,,,1,,16/12/19
BRZZ154.3e,light_cycle_disturbed,M,Parental-,,retrieve but little parenting time,,Agg-,,Parental+,build a nest around the pups,,1,,16/12/19
BRZZ109.6e,novel_env,E,,,,,Agg-,,,,,1,,29/12/19
BRZZ109.6c,novel_env,D,,,,,Agg-,,,,,1,,29/12/19
BRZZ374.3f,novel_env,,,,,,Agg-,,,,,1,,20/03/20
