"mice_ID","exp_cond","deprivation_duration","estrous_stage","state_before","retrieval_before_latency","state_before_comment","1h_food_consumption_before","state_after","state_after_latency","parental_state_after","retrieval_after_latency","state_after_comment","1h_food_consumption_after","target_before","target_before_latency","target_2_before","target","target_after","target_after_latency","target_2_after","exp_time","prev_exp","exp_date"
"JKAM3.1h","all_stressor_5h",404,"E","Parental-",,,,"Agg-",,,,"1620 attack time out of range",,,,,"pup",,,,1,,"09/11/19"
"JKAM2.1e","all_stressor_5h",363,"M","Parental+",,"build a nest around the pups",,"Agg+",197,,,,,,,,"pup",,,,1,,"10/11/19"
"JKAM2.1d","all_stressor_5h",431,"D","Parental+",102,,,"Agg+",143,,,,,,,,"pup",,,,1,,"12/11/19"
"JKAM2.1g","all_stressor_5h",450,"D","Parental+",33,,,"Agg+",417,,,"some crouching(?) before the attack",,,,,"pup",,,,1,,"12/11/19"
"JKAM3.1j","all_stressor_5h",383,"P","Parental+",30,,,"Agg-",,"Parental+",,,,,,,"pup",,,,1,,"13/11/19"
"JKAM3.1i","all_stressor_5h",238,"E","Parental+",157,,,"Agg-",,"Parental+",,,,,,,"pup",,,,1,,"14/11/19"
"JKAM3.1c","all_stressor_5h",250,"E","Parental+",,"build a nest around the pups",,"Agg-",,"Parental+",,,,,,,"pup",,,,1,,"17/11/19"
"JKAM3.1f","all_stressor_5h",288,"M","Parental-",,"some grooming but not a lot",,"Agg+",419,,,,,,,,"pup",,,,1,,"17/11/19"
"JKAM3.1d","all_stressor_5h",267,"E","Parental-",,"become parental after 20 min",,"Agg+",185,,,,,,,,"pup",,,,1,,"17/11/19"
"BRZZ109.6d","all_stressor_5h",427,"P","Parental+",,"build a nest around the pups",,"Agg+",225,,,,,,,,"pup",,,,1,,"26/12/19"
"JKAM2.4h","all_stressor_5h",427,"M","Parental-",,,,"Agg+",884,,,,,,,,"pup",,,,1,,"26/12/19"
"BRZZ132.5f","all_stressor_5h",382,"M","Parental+",173,,,"Agg+",143,,,,,,,,"pup",,,,1,,"26/12/19"
"BRZZ260.2h","all_stressor_5h",382,"M","Parental+",,"build a nest around the pups",,"Agg-",70,"Parental+",,,,,,,"pup",,,,1,,"26/12/19"
"JKAM3.4i","all_stressor_5h",280,"P","Parental+",459,,,"Agg+",132,,,,,,,,"pup",,,,1,,"30/12/19"
"BRZZ288.2a","all_stressor_5h",356,"D","Parental-",,,,"Agg-",,"Parental-",,"aggressive but out of the time range",,,,,"pup",,,,1,,"04/01/20"
"JKAM1.4b","all_stressor_5h",371,"D","Parental+",688,,,"Agg-",,"Parental+",,,,,,,"pup",,,,1,,"08/01/20"
"BRZZ109.6c","all_stressor_5h",287,"P-E","Parental+",123,,,"Agg-",,"Parental+",,,,,,,"pup",,,,2,"all_stressor_plus_food(1)","30/12/19"
"BRZZ109.6e","all_stressor_5h",277,"E","Parental+",,"build a nest around the pups",,"Agg-",,"Parental-",,,,,,,"pup",,,,2,"all_stressor_plus_food","03/01/20"
