Observation id	Observation date	Description	Media file	Total length	FPS	pre	post	Subject	Behavior	Behavioral category	Modifiers	Behavior type	Start (s)	Stop (s)	Duration (s)	Comment start	Comment stop
BRAC4943.6b(R),BRAC5007.4d(L),test	2021-03-14 13:28:54		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4943.6b(R)_BRAC5007.4d(L)_food_deprivation_test_pups bottom_left 20_12_2020 18_05_17 3.mp4	1128.630	29.99			left	chemoinvestigation	investigation		STATE	19.449	24.454	5.005		
BRAC4673.7b(R),BRAC4908.4e(L),control	2021-03-15 21:59:07		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/control/BRAC4673.7b(R)_BRAC4908.4e(L)_food_deprivation_control_first_ top_left 03_12_2020 11_15_46 1.mp4	957.690	29.98			right	chemoinvestigation	investigation		STATE	19.957	20.959	1.002		
BRAC5178.2i(R),BRAC5178.2j(L),test	2021-03-13 20:48:48		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC5178.2i(R)BRAC5178.2j(L)_food_deprivation_test_first bottom_left 03_12_2020 17_52_25 3.mp4	963.460	29.97			left	pup introduction			POINT	20.580	20.580	NA		
BRAC5178.2i(R),BRAC5178.2j(L),control	2021-04-25 19:48:03		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/control/BRAC5178.2i(R)_BRAC5178.2j(L)_food_deprivation_control_first bottom_left 03_12_2020 11_38_12 3.mp4	962.470	29.76			left	pup introduction			POINT	21.711	21.711	NA		
BRAC4673.7b(R),BRAC4908.4e(L),test	2021-03-13 00:34:59		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC4673.7b(R)BRAC4908.4e(L)_food_deprivation_test_first top_left 03_12_2020 17_34_11 1.mp4	960.900	29.99			left	pup introduction			POINT	21.960	21.960	NA		
BRAC5178.2i(R),BRAC5178.2j(L),test	2021-03-13 20:48:48		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC5178.2i(R)BRAC5178.2j(L)_food_deprivation_test_first bottom_left 03_12_2020 17_52_25 3.mp4	963.460	29.97			right	chemoinvestigation	investigation		STATE	22.580	23.580	1.000		
BRAC4943.6b(R),BRAC5007.4d(L),test	2021-03-14 13:28:54		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4943.6b(R)_BRAC5007.4d(L)_food_deprivation_test_pups bottom_left 20_12_2020 18_05_17 3.mp4	1128.630	29.99			right	chemoinvestigation	investigation		STATE	22.948	25.948	3.000		
BRAC4673.7b(R),BRAC4908.4e(L),control	2021-03-15 21:59:07		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/control/BRAC4673.7b(R)_BRAC4908.4e(L)_food_deprivation_control_first_ top_left 03_12_2020 11_15_46 1.mp4	957.690	29.98			right	in empty nest			STATE	22.960	45.209	22.249		
BRAC4943.6b(R),BRAC5007.4d(L),test	2021-03-14 13:28:54		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4943.6b(R)_BRAC5007.4d(L)_food_deprivation_test_pups bottom_left 20_12_2020 18_05_17 3.mp4	1128.630	29.99			left	chemoinvestigation	investigation		STATE	25.447	26.947	1.500		
BRAC4673.7b(R),BRAC4908.4e(L),control	2021-03-15 21:59:07		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/control/BRAC4673.7b(R)_BRAC4908.4e(L)_food_deprivation_control_first_ top_left 03_12_2020 11_15_46 1.mp4	957.690	29.98			left	pup introduction			POINT	25.460	25.460	NA		
BRAC4939.7c(R),BRAC4939.7e(L),test	2021-03-14 13:27:47		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4939.7c(R)BRAC4939.7e(L)_food_deprivation_test_pups_top_left 18_12_2020 17_56_55 1.mp4	935.244	29.99			left	chemoinvestigation	investigation		STATE	25.711	31.215	5.504		
BRAC5178.2i(R),BRAC5178.2j(L),test	2021-03-13 20:48:48		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC5178.2i(R)BRAC5178.2j(L)_food_deprivation_test_first bottom_left 03_12_2020 17_52_25 3.mp4	963.460	29.97			right	rearing	stress behaviour		STATE	26.335	28.835	2.500		
BRAC4939.7d(R),BRAC5077.5a(L),test	2021-03-14 13:28:20		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4939.7d(R)_BRAC5077.5a(L)_food_deprivation_test_pups top_right 18_12_2020 17_56_55 2.mp4	935.830	29.98			right	pup introduction			POINT	26.457	26.457	NA		
BRAC5007.4c(R),BRAC4943.6c(L),test	2021-03-14 13:31:59		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC5007.4c(R)_BRAC4943.6c(L)_food_deprivation_test_pups bottom_right 20_12_2020 18_05_17 4.mp4	1129.600	29.98			right	pup introduction			POINT	27.447	27.447	NA		
BRAC4943.6b(R),BRAC5007.4d(L),test	2021-03-14 13:28:54		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4943.6b(R)_BRAC5007.4d(L)_food_deprivation_test_pups bottom_left 20_12_2020 18_05_17 3.mp4	1128.630	29.99			left	chemoinvestigation	investigation		STATE	28.950	33.954	5.004		
BRAC4895.5d(R),BRAC4895.5c(L),test	2021-03-14 12:33:09		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4895.5d(R)_BRAC4895.5c(L)_food_deprivation_test_pups top_right 20_12_2020 17_46_55 2.mp4	960.701	29.99			right	pup introduction			POINT	28.957	28.957	NA		
BRAC4895.5b(R),BRAC4895.5e(L),test	2021-03-14 12:31:29		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4895.5b(R)_BRAC4895.5e(L)_food_deprivation_test_pups top_left 20_12_2020 17_46_55 1.mp4	960.657	29.99			left	rearing	stress behaviour		STATE	29.463	30.963	1.500		
BRAC4939.7d(R),BRAC5077.5a(L),control	2021-03-15 21:57:13		/home/tochenan/pups-20210315T115336Z-001/pups/BRAC4939.7d(R)_BRAC5077.5a(L)_food_deprivation_control_pups top_right 18_12_2020 11_45_58 2.mp4	979.330	29.9			right	pup introduction			POINT	29.957	29.957	NA		
BRAC4895.5d(R),BRAC4895.5c(L),control	2021-03-15 21:56:00		/home/tochenan/pups-20210315T115336Z-001/pups/BRAC4895.5d(R)_BRAC4895.5c(L)_food_deprivation_control_pups top_right 20_12_2020 11_42_02 2.mp4	947.150	29.98			right	pup introduction			POINT	30.955	30.955	NA		
BRAC4895.5b(R),BRAC4895.5e(L),test	2021-03-14 12:31:29		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4895.5b(R)_BRAC4895.5e(L)_food_deprivation_test_pups top_left 20_12_2020 17_46_55 1.mp4	960.657	29.99			right	chemoinvestigation	investigation		STATE	30.962	36.461	5.499		
BRAC4673.7b(R),BRAC4908.4e(L),test	2021-03-13 00:34:59		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC4673.7b(R)BRAC4908.4e(L)_food_deprivation_test_first top_left 03_12_2020 17_34_11 1.mp4	960.900	29.99			right	chemoinvestigation	investigation		STATE	31.900	34.400	2.500		
BRAC5178.2i(R),BRAC5178.2j(L),control	2021-04-25 19:48:03		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/control/BRAC5178.2i(R)_BRAC5178.2j(L)_food_deprivation_control_first bottom_left 03_12_2020 11_38_12 3.mp4	962.470	29.76			right	chemoinvestigation	investigation		STATE	32.211	45.497	13.286		
BRAC4673.7b(R),BRAC4908.4e(L),control	2021-03-15 21:59:07		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/control/BRAC4673.7b(R)_BRAC4908.4e(L)_food_deprivation_control_first_ top_left 03_12_2020 11_15_46 1.mp4	957.690	29.98			left	rearing	stress behaviour		STATE	32.214	32.964	0.750		
BRAC4943.6b(R),BRAC5007.4d(L),test	2021-03-14 13:28:54		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4943.6b(R)_BRAC5007.4d(L)_food_deprivation_test_pups bottom_left 20_12_2020 18_05_17 3.mp4	1128.630	29.99			right	chemoinvestigation	investigation		STATE	32.949	36.198	3.249		
BRAC5007.4c(R),BRAC4943.6c(L),test	2021-03-14 13:31:59		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC5007.4c(R)_BRAC4943.6c(L)_food_deprivation_test_pups bottom_right 20_12_2020 18_05_17 4.mp4	1129.600	29.98			left	pup introduction			POINT	32.949	32.949	NA		
BRAC5178.2i(R),BRAC5178.2j(L),test	2021-03-13 20:48:48		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC5178.2i(R)BRAC5178.2j(L)_food_deprivation_test_first bottom_left 03_12_2020 17_52_25 3.mp4	963.460	29.97			right	rearing	stress behaviour		STATE	33.088	34.588	1.500		
BRAC4939.7c(R),BRAC4939.7e(L),test	2021-03-14 13:27:47		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4939.7c(R)BRAC4939.7e(L)_food_deprivation_test_pups_top_left 18_12_2020 17_56_55 1.mp4	935.244	29.99			left	rearing	stress behaviour		STATE	33.214	33.964	0.750		
BRAC4943.6b(R),BRAC5007.4d(L),test	2021-03-14 13:28:54		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4943.6b(R)_BRAC5007.4d(L)_food_deprivation_test_pups bottom_left 20_12_2020 18_05_17 3.mp4	1128.630	29.99			left	licking and grooming	investigation		STATE	33.954	37.450	3.496		
BRAC5178.2i(R),BRAC5178.2j(L),test	2021-03-13 20:48:48		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC5178.2i(R)BRAC5178.2j(L)_food_deprivation_test_first bottom_left 03_12_2020 17_52_25 3.mp4	963.460	29.97			left	chemoinvestigation	investigation		STATE	34.080	44.591	10.511		
BRAC4673.7b(R),BRAC4908.4e(L),test	2021-03-13 00:34:59		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC4673.7b(R)BRAC4908.4e(L)_food_deprivation_test_first top_left 03_12_2020 17_34_11 1.mp4	960.900	29.99			right	licking and grooming	investigation		STATE	34.650	42.408	7.758		
BRAC4895.5b(R),BRAC4895.5e(L),test	2021-03-14 12:31:29		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4895.5b(R)_BRAC4895.5e(L)_food_deprivation_test_pups top_left 20_12_2020 17_46_55 1.mp4	960.657	29.99			left	chemoinvestigation	investigation		STATE	34.715	41.465	6.750		
BRAC4673.7b(R),BRAC4908.4e(L),test	2021-03-13 00:34:59		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC4673.7b(R)BRAC4908.4e(L)_food_deprivation_test_first top_left 03_12_2020 17_34_11 1.mp4	960.900	29.99			left	chemoinvestigation	investigation		STATE	34.958	36.965	2.007		
BRAC4939.7d(R),BRAC5077.5a(L),test	2021-03-14 13:28:20		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4939.7d(R)_BRAC5077.5a(L)_food_deprivation_test_pups top_right 18_12_2020 17_56_55 2.mp4	935.830	29.98			left	pup introduction			POINT	35.706	35.706	NA		
BRAC5178.2i(R),BRAC5178.2j(L),test	2021-03-13 20:48:48		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC5178.2i(R)BRAC5178.2j(L)_food_deprivation_test_first bottom_left 03_12_2020 17_52_25 3.mp4	963.460	29.97			right	in empty nest			STATE	36.087	40.591	4.504		
BRAC5215.1c(R),BRAC5215.1d(L),test	2021-03-13 22:41:13		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC5215.1c(R)BRAC215.1d(L)_food_deprivation_test_first bottom_right 03_12_2020 18_52_25 4.mp4	963.700	29.98			right	pup introduction			POINT	36.199	36.199	NA		
BRAC4943.6b(R),BRAC5007.4d(L),test	2021-03-14 13:28:54		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4943.6b(R)_BRAC5007.4d(L)_food_deprivation_test_pups bottom_left 20_12_2020 18_05_17 3.mp4	1128.630	29.99			right	chemoinvestigation	investigation		STATE	36.698	40.448	3.750		
BRAC4673.7c(R),BRAC4908.4f(L),test	2021-03-12 21:44:51		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC4673.7c(R)BRAC4908.4f(L)_food_deprivation_test_first top_right 03_12_2020 17_34_11 2.mp4	961.200	29.99			right	pup introduction			POINT	36.709	36.709	NA		
BRAC4895.5d(R),BRAC4895.5c(L),test	2021-03-14 12:33:09		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4895.5d(R)_BRAC4895.5c(L)_food_deprivation_test_pups top_right 20_12_2020 17_46_55 2.mp4	960.701	29.99			left	pup introduction			POINT	36.961	36.961	NA		
BRAC4673.7b(R),BRAC4908.4e(L),test	2021-03-13 00:34:59		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC4673.7b(R)BRAC4908.4e(L)_food_deprivation_test_first top_left 03_12_2020 17_34_11 1.mp4	960.900	29.99			left	licking and grooming	investigation		STATE	36.965	55.723	18.758		
BRAC4943.6b(R),BRAC5007.4d(L),test	2021-03-14 13:28:54		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4943.6b(R)_BRAC5007.4d(L)_food_deprivation_test_pups bottom_left 20_12_2020 18_05_17 3.mp4	1128.630	29.99			left	rearing	stress behaviour		STATE	37.450	38.447	0.997		
BRAC4939.7c(R),BRAC4939.7e(L),test	2021-03-14 13:27:47		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4939.7c(R)BRAC4939.7e(L)_food_deprivation_test_pups_top_left 18_12_2020 17_56_55 1.mp4	935.244	29.99			left	chemoinvestigation	investigation		STATE	37.465	39.965	2.500		
BRAC4939.7d(R),BRAC5077.5a(L),control	2021-03-15 21:57:13		/home/tochenan/pups-20210315T115336Z-001/pups/BRAC4939.7d(R)_BRAC5077.5a(L)_food_deprivation_control_pups top_right 18_12_2020 11_45_58 2.mp4	979.330	29.9			left	pup introduction			POINT	37.958	37.958	NA		
BRAC4673.7c(R),BRAC4908.4f(L),test	2021-03-12 21:44:51		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC4673.7c(R)BRAC4908.4f(L)_food_deprivation_test_first top_right 03_12_2020 17_34_11 2.mp4	961.200	29.99			right	chemoinvestigation	investigation		STATE	37.961	43.962	6.001		
BRAC4895.5d(R),BRAC4895.5c(L),control	2021-03-15 21:56:00		/home/tochenan/pups-20210315T115336Z-001/pups/BRAC4895.5d(R)_BRAC4895.5c(L)_food_deprivation_control_pups top_right 20_12_2020 11_42_02 2.mp4	947.150	29.98			left	pup introduction			POINT	38.210	38.210	NA		
BRAC5178.2i(R),BRAC5178.2j(L),test	2021-03-13 20:48:48		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC5178.2i(R)BRAC5178.2j(L)_food_deprivation_test_first bottom_left 03_12_2020 17_52_25 3.mp4	963.460	29.97			right	rearing	stress behaviour		STATE	38.591	39.590	0.999		
BRAC4895.5b(R),BRAC4895.5e(L),test	2021-03-14 12:31:29		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4895.5b(R)_BRAC4895.5e(L)_food_deprivation_test_pups top_left 20_12_2020 17_46_55 1.mp4	960.657	29.99			right	chemoinvestigation	investigation		STATE	39.461	43.211	3.750		
BRAC5215.1c(R),BRAC5215.1d(L),control	2021-03-12 21:45:13		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/control/BRAC5215.1c(R)BRAC5215.1d(L)_food_deprivation_control_first bottom_right 03_12_2020 12_38_12 4.mp4	963.080	29.78			right	pup introduction			POINT	39.468	39.468	NA		
BRAC4939.7c(R),BRAC4939.7e(L),test	2021-03-14 13:27:47		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4939.7c(R)BRAC4939.7e(L)_food_deprivation_test_pups_top_left 18_12_2020 17_56_55 1.mp4	935.244	29.99			left	in empty nest			STATE	40.217	47.968	7.751		
BRAC4943.6b(R),BRAC5007.4d(L),test	2021-03-14 13:28:54		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4943.6b(R)_BRAC5007.4d(L)_food_deprivation_test_pups bottom_left 20_12_2020 18_05_17 3.mp4	1128.630	29.99			right	licking and grooming	investigation		STATE	40.448	47.708	7.260		
BRAC5178.2i(R),BRAC5178.2j(L),test	2021-03-13 20:48:48		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC5178.2i(R)BRAC5178.2j(L)_food_deprivation_test_first bottom_left 03_12_2020 17_52_25 3.mp4	963.460	29.97			right	tail rattling	aggressive behaviour		STATE	41.470	43.091	1.621		
BRAC5178.2i(R),BRAC5178.2j(L),test	2021-03-13 20:48:48		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC5178.2i(R)BRAC5178.2j(L)_food_deprivation_test_first bottom_left 03_12_2020 17_52_25 3.mp4	963.460	29.97			right	chemoinvestigation	investigation		STATE	41.591	48.098	6.507		
BRAC4943.6b(R),BRAC5007.4d(L),test	2021-03-14 13:28:54		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4943.6b(R)_BRAC5007.4d(L)_food_deprivation_test_pups bottom_left 20_12_2020 18_05_17 3.mp4	1128.630	29.99			left	chemoinvestigation	investigation		STATE	41.958	43.958	2.000		
BRAC4673.7c(R),BRA4908.4f(L),control	2021-03-12 21:17:55		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/control/BRAC4673.7c(R)BRAC4908.4f(L)_food_deprivation_control_first top_right03_11_2020 12_15_46 2.mp4	956.870	29.99			right	pup introduction			POINT	42.714	42.714	NA		
BRAC4895.5b(R),BRAC4895.5e(L),test	2021-03-14 12:31:29		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4895.5b(R)_BRAC4895.5e(L)_food_deprivation_test_pups top_left 20_12_2020 17_46_55 1.mp4	960.657	29.99			left	chemoinvestigation	investigation		STATE	42.965	45.466	2.501		
BRAC4895.5b(R),BRAC4895.5e(L),test	2021-03-14 12:31:29		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4895.5b(R)_BRAC4895.5e(L)_food_deprivation_test_pups top_left 20_12_2020 17_46_55 1.mp4	960.657	29.99			right	licking and grooming	investigation		STATE	43.211	47.962	4.751		
BRAC4673.7c(R),BRAC4908.4f(L),control	2021-03-14 11:39:27		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/control/BRAC4673.7c(R)BRAC4908.4f(L)_food_deprivation_control_first top_right03_11_2020 12_15_46 2.mp4	956.870	29.99			right	pup introduction			POINT	43.213	43.213	NA		
BRAC4673.7b(R),BRAC4908.4e(L),test	2021-03-13 00:34:59		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC4673.7b(R)BRAC4908.4e(L)_food_deprivation_test_first top_left 03_12_2020 17_34_11 1.mp4	960.900	29.99			right	rearing	stress behaviour		STATE	43.719	44.227	0.508		
BRAC4673.7c(R),BRAC4908.4f(L),test	2021-03-12 21:44:51		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC4673.7c(R)BRAC4908.4f(L)_food_deprivation_test_first top_right 03_12_2020 17_34_11 2.mp4	961.200	29.99			right	rearing	stress behaviour		STATE	43.964	44.465	0.501		
BRAC4895.5d(R),BRAC4895.5c(L),test	2021-03-14 12:33:09		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4895.5d(R)_BRAC4895.5c(L)_food_deprivation_test_pups top_right 20_12_2020 17_46_55 2.mp4	960.701	29.99			left	chemoinvestigation	investigation		STATE	44.215	53.717	9.502		
BRAC4673.7c(R),BRAC4908.4f(L),test	2021-03-12 21:44:51		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC4673.7c(R)BRAC4908.4f(L)_food_deprivation_test_first top_right 03_12_2020 17_34_11 2.mp4	961.200	29.99			right	rearing	stress behaviour		STATE	44.715	45.215	0.500		
BRAC5178.2i(R),BRAC5178.2j(L),test	2021-03-13 20:48:48		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC5178.2i(R)BRAC5178.2j(L)_food_deprivation_test_first bottom_left 03_12_2020 17_52_25 3.mp4	963.460	29.97			left	rearing	stress behaviour		STATE	44.843	44.845	0.002		
BRAC4673.7c(R),BRAC4908.4f(L),test	2021-03-12 21:44:51		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC4673.7c(R)BRAC4908.4f(L)_food_deprivation_test_first top_right 03_12_2020 17_34_11 2.mp4	961.200	29.99			left	pup introduction			POINT	44.965	44.965	NA		
BRAC5215.1c(R),BRAC5215.1d(L),test	2021-03-13 22:41:13		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC5215.1c(R)BRAC215.1d(L)_food_deprivation_test_first bottom_right 03_12_2020 18_52_25 4.mp4	963.700	29.98			left	pup introduction			POINT	45.063	45.063	NA		
