mice_ID,exp_cond,deprivation_duration,birth_date,estrous_stage,state_before,retrieval_before_latency,state_before_comment,1h_food_consumption_before,state_after,state_after_latency,parental_state_after,retrieval_after_latency,state_after_comment,1h_food_consumption_after,target_before,target_before_latency,target_2_before,litter_size,target,target_after,target_after_latency,target_2_after,exp_time,prev_exp,exp_date
BRAC4857.7j,food_deprivation,302,18/09/20,M,Parental+,390,retrieve both pups,,Agg+,253,,,,,,,,,pup,,,,1,,11/11/20
BRAC4709.7c,food_deprivation,298,20/09/20,E,Parental+,,build a nest around the pups,0.3,Agg-,,Parental+,,build a nest around the pups,0.8,,,,,pup,,,,1,,22/11/20
BRAC4709.7d,food_deprivation,,20/09/20,D,Parental+,579,retrieve one pup,0,Agg+,254,,,,0.7,,,,,pup,,,,1,,22/11/20
BRAC4742.4b,food_deprivation,,18/09/20,M,Parental-,,,0,Agg-,,Parental+,,build a nest around the pups,0.4,,,,,pup,,,,1,,22/11/20
BRAC4742.4c,food_deprivation,,18/09/20,M,Parental+,,build a nest around the pups,0.1,Agg-,,Parental+,,build a nest around the pups,0.2,,,,,pup,,,,1,,22/11/20
BRAC5178.2i,food_deprivation,359,20/09/20,D,Parental-,,,0.2,Agg-,,Parental-,,,0.5,,,,,pup,,,,1,,03/12/20
BRAC4908.4e,food_deprivation,364,18/09/20,M,Parental-,,,0,Agg+,64,,,,0.9,,,,,pup,,,,1,,03/12/20
BRAC5178.2j,food_deprivation,359,20/09/20,P,Parental-,,,0.1,Agg+,191,,,,0.9,,,,,pup,,,,1,,03/12/20
BRAC5215.1c,food_deprivation,359,20/09/20,P,Parental+,101,retrieve both pups,0.3,Agg-,,Parental+,74,retrieve both pups,0.5,,,,,pup,,,,1,,03/12/20
BRAC4673.7b,food_deprivation,364,18/09/20,P,Parental-,,,,Agg+,194,,,,,,,,,pup,,,,1,,03/12/20
BRAC5215.1d,food_deprivation,359,24/10/20,M,Parental+,264,retrieve both pups ,0.1,Agg+,68,,,,0.9,,,,,pup,,,,1,,03/12/20
BRAC4908.4f,food_deprivation,364,18/09/20,P,Parental+,147,retrieve both pups,0.1,Agg-,,Parental+,,build a nest around only one pup,0.5,,,,,pup,,,,1,,03/12/20
BRAC4673.7c,food_deprivation,364,18/09/20,P,Parental-,,,0,Agg-,,Parental+,,build a nest around the pups,0.6,,,,,pup,,,,1,,03/12/20
BRAC4892.5e,food_deprivation,356,03/10/20,P,Parental+,,nest too close to the pups,,Agg+,75,,,,,Hunt-,,,,cricket,Hunt-,,,1,,09/12/20
BRAC4892.5d,food_deprivation,356,03/10/20,M,Parental+,529,retrieve both pups,,Agg+,406,,,,,Hunt-,,,,cricket,Hunt-,,,1,,09/12/20
BRAC4971.4d,food_deprivation,354,04/10/20,P,Parental+,383,retrieve both pups,,Agg-,,Parental+,,onset very very late,,Hunt-,,,,cricket,Hunt-,,,1,,09/12/20
BRAC4914.6a,food_deprivation,354,03/10/20,P,Parental+,230,retrieve both pups,,Agg+,34,,,,,Hunt-,,,,cricket,Hunt-,,,1,,09/12/20
BRAC4892.5c,food_deprivation,349,03/10/20,P,Parental+,394,retrieve both pups,,Agg-,,Parental+,,build a nest around the pups,,Hunt-,,,,cricket,Hunt-,,,1,,09/12/20
BRAC4971.4e,food_deprivation,349,04/10/20,P,Parental-,,,,Agg+,446,,,,,Hunt-,,,,cricket,Hunt-,,,1,,09/12/20
BRAC4971.4g,food_deprivation,349,04/10/20,P,Parental+,,build a nest around the pups,,Agg-,,Parental+,,build a nest around the pups,,Hunt-,,,,cricket,Hunt-,,,1,,09/12/20
BRAC4971.4f,food_deprivation,349,04/10/20,P,Parental-,,,,Agg+,122,,,,,Hunt+,15,,,cricket,Hunt+,12,,1,,09/12/20
BRAC5196.2i,food_deprivation,331,03/10/20,P,Parental+,133,retrieve both pups,,Agg-,,Parental-,,,,Hunt-,,,,cricket,Hunt-,,,1,,13/12/20
BRAC5196.2h,food_deprivation,331,03/10/20,M,Parental+,,build a nest around the pups,,Agg+,63,,,,,Hunt-,,,,cricket,Hunt-,,,1,,13/12/20
BRAC5132.4e,food_deprivation,331,03/10/20,D,Parental+,329,retrieve both pups,,Agg+,638,,,,,Hunt-,,,,cricket,Hunt+,545,,1,,13/12/20
BRAC5132.4c,food_deprivation,331,03/10/20,D,Parental+,,build a nest around the pups,,Agg+,271,,,,,Hunt+,853,,,cricket,Hunt+,144,,1,,13/12/20
BRAC5148.5c,food_deprivation,334,03/10/20,P,Parental+,316,retrieve both pups,,Agg+,313,,,,,Hunt-,,,,cricket,Hunt-,,,1,,13/12/20
BRAC5132.4d,food_deprivation,334,03/10/20,M,Parental-,,,,Agg+,163,,,,,Hunt-,,,,cricket,Hunt+,224,,1,,13/12/20
BRAC5196.2g,food_deprivation,335,03/10/20,E,Parental+,,build a nest around the pups,,Agg-,,Parental+,,build a nest around only one pup,,Hunt-,,,,cricket,Hunt-,,,1,,13/12/20
BRAC5148.5d,food_deprivation,335,03/10/20,D,Parental-,,,,Agg-,,Parental-,,,,Hunt+,692,,,cricket,Hunt+,20,,1,,18/12/20
BRAC5077.5c,food_deprivation,,03/10/20,M,Parental+,,build a nest around the pups,,Agg+,79,,,,0.9,Agg-,,Agg-,,intruder,Agg-,,Agg-,1,,18/12/20
BRAC5077.5b,food_deprivation,,03/10/20,D,Parental-,,,0.3,Agg+,397,,,retrieve the other pup to the nest,0.9,Agg-,,Agg-,,intruder,Agg-,,Agg-,1,,18/12/20
BRAC5077.5d,food_deprivation,,03/10/20,M,Parental-,,,0.3,Agg+,59,,,,0.7,Agg-,,Agg-,,intruder,Agg-,,Agg-,1,,18/12/20
BRAC4939.7d,food_deprivation,,04/10/20,M,Parental-,,some grooming but not a lot,0.2,Agg+,266,,,,,Agg-,,Agg-,,intruder,Agg-,,Agg-,1,,18/12/20
BRAC4939.7c,food_deprivation,,04/10/20,P,Parental-,,,0.2,Agg+,145,,,,0.8,Agg-,,Agg-,,intruder,Agg-,,Agg-,1,,18/12/20
BRAC5077.5e,food_deprivation,,03/10/20,D,Parental-,,,0.2,Agg-,,Parental-,,,0.6,Agg-,,Agg-,,intruder,Agg-,,Agg-,1,,18/12/20
BRAC5077.5a,food_deprivation,,03/10/20,M,Parental-,,,0.1,Agg+,62,,,,,Agg-,,Agg-,,intruder,Agg-,,Agg-,1,,18/12/20
BRAC4939.7e,food_deprivation,,04/10/20,D,Parental+,231,retrieve both pups,0.1,Agg-,,Parental+,222,retrieve both pups,0.5,Agg-,,Agg-,,intruder,Agg-,,Agg-,1,,18/12/20
BRAC4895.5b,food_deprivation,,17/10/20,D,Parental+,726,retrieve one pup,0.1,Agg-,,Parental-,,,0.4,Agg-,,Agg-,,intruder,Agg-,,Agg-,1,,20/12/20
BRAC4895.5e,food_deprivation,,17/10/20,,Parental+,,build a nest around the pups,0,Agg-,,Parental+,,build a nest around only one pup,0.5,Agg-,,Agg-,,intruder,Agg-,,Agg-,1,,20/12/20
BRAC4895.5d,food_deprivation,,17/10/20,M,Parental-,,,0,Agg+,151,,,,,Agg-,,Agg-,,intruder,Agg-,,Agg-,1,,20/12/20
BRAC4895.5c,food_deprivation,,17/10/20,E,Parental+,,build a nest around the pups,0,Agg-,,Parental+,,build a nest around only one pup,1.1,Agg-,,Agg-,,intruder,Agg-,,Agg-,1,,20/12/20
