,% Esr1,% PR,% Prlr,% Oxtr,% Esr1_AND_PR,% Esr1_AND_Prlr,% Esr1_AND_Oxtr,% PR_AND_Prlr,% PR_AND_Oxtr,% Prlr_AND_Oxtr,% Esr1_AND_PR_AND_Prlr,% Esr1_AND_PR_AND_Oxtr,% Esr1_AND_Prlr_AND_Oxtr,% PR_AND_Prlr_AND_Oxtr,% all,% Esr1_given_PR,% Esr1_given_Prlr,% Esr1_given_Oxtr,% PR_given_Esr1,% PR_given_Prlr,% PR_given_Oxtr,% Prlr_given_Esr1,% Prlr_given_PR,% Prlr_given_Oxtr,% Oxtr_given_Esr1,% Oxtr_given_PR,% Oxtr_given_Prlr
MOB,1.1757697113117156,11.761834233846612,0.01075651389658853,18.863615678032716,0.1795510396584393,0.0,0.23912557816262195,0.004964544875348553,2.433454413066682,0.005791969021239978,0.0,0.05295514533705122,0.0,0.0024822724376742764,0.0,1.5265564544495251,0.0,1.2676550574611807,15.270935960591133,46.15384615384615,12.900254408281429,0.0,0.042208934224410834,0.030704447758575313,20.337790288529206,20.689412592332044,53.84615384615385
OLF,3.4745738595942064,56.3956631854529,0.8764690816994394,20.19578270396403,2.4131356535101447,0.10529011695740019,1.4911357104237215,0.7085740303349364,15.588628667368601,0.330098745055633,0.09675308044734071,1.2919381918556672,0.06260493440710281,0.2817222048319627,0.05975925557041632,4.278938338883843,12.012987012987013,7.383401437226997,69.45126945126945,80.84415584415584,77.18754403268987,3.0303030303030303,1.2564335452618831,1.6344934479357476,42.91564291564291,27.64153799576143,37.66233766233766
onl,4.076086956521739,15.217391304347828,0.5434782608695652,1.4945652173913044,0.6793478260869565,0.0,0.0,0.4076086956521739,0.4076086956521739,0.0,0.0,0.0,0.0,0.0,0.0,4.464285714285714,0.0,0.0,16.666666666666664,75.0,27.27272727272727,0.0,2.6785714285714284,0.0,0.0,2.6785714285714284,0.0
AOBgr,0.2998765214323514,5.0802610689716,0.01763979537837361,43.30569765390722,0.07055918151349444,0.0,0.22931733991885692,0.01763979537837361,2.945845828188393,0.01763979537837361,0.0,0.05291938613512083,0.0,0.01763979537837361,0.0,1.3888888888888888,0.0,0.5295315682281059,23.52941176470588,100.0,6.802443991853361,0.0,0.3472222222222222,0.04073319755600815,76.47058823529412,57.986111111111114,100.0
lotd,0.3914483589280337,8.039747064137307,0.0,19.361638060825054,0.15055706112616682,0.0,0.15055706112616682,0.0,1.7464619090635352,0.0,0.0,0.030111412225233364,0.0,0.0,0.0,1.8726591760299627,,0.7776049766718507,38.46153846153847,,9.020217729393467,0.0,0.0,0.0,38.46153846153847,21.722846441947567,
AOBmi,0.3166783954961295,12.385643912737509,0.03518648838845883,10.133708655876143,0.14074595355383532,0.0,0.07037297677691766,0.03518648838845883,1.0907811400422238,0.0,0.0,0.03518648838845883,0.0,0.0,0.0,1.1363636363636365,0.0,0.6944444444444444,44.44444444444444,100.0,10.76388888888889,0.0,0.2840909090909091,0.0,22.22222222222222,8.806818181818182,0.0
lot,11.565523306948108,12.66490765171504,0.6596306068601583,3.95778364116095,0.9234828496042217,0.395778364116095,0.3518029903254178,0.2638522427440633,1.2313104661389622,0.08795074758135445,0.08795074758135445,0.04397537379067722,0.08795074758135445,0.0,0.0,7.291666666666667,60.0,8.88888888888889,7.984790874524715,40.0,31.11111111111111,3.4220532319391634,2.083333333333333,2.2222222222222223,3.041825095057034,9.722222222222223,13.333333333333334
FRP1,2.127659574468085,21.388577827547593,0.0,10.862262038073908,0.0,0.0,0.0,0.0,8.174692049272117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,75.25773195876289,0.0,0.0,0.0,0.0,38.21989528795812,
aco,1.1193507765496011,42.61928081712607,0.2518539247236603,37.84804813208339,0.5596753882748006,0.041975654120610044,0.22387015530992024,0.12592696236183015,17.377920805932558,0.05596753882748006,0.02798376941374003,0.15391073177557016,0.013991884706870015,0.02798376941374003,0.0,1.3131976362442548,16.666666666666664,0.5914972273567467,50.0,50.0,45.914972273567464,3.75,0.29546946815495734,0.14787430683918668,20.0,40.77478660538411,22.22222222222222
MOs1,8.37317108503549,12.154135882949442,0.07243227582210633,2.6944806605823555,0.3476749239461104,0.014486455164421265,0.2462697377951615,0.07243227582210633,1.796320440388237,0.014486455164421265,0.014486455164421265,0.10140518615094887,0.0,0.014486455164421265,0.0,2.860548271752086,20.0,9.13978494623656,4.1522491349480966,100.0,66.66666666666666,0.17301038062283738,0.5959475566150179,0.5376344086021506,2.941176470588235,14.779499404052443,20.0
FRP2/3,0.0823045267489712,0.24691358024691357,0.0,0.3292181069958848,0.0,0.0,0.0,0.0,0.0823045267489712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,25.0,0.0,0.0,0.0,0.0,33.33333333333333,
PL1,4.052132701421801,46.13744075829384,0.07109004739336493,18.12796208530806,2.890995260663507,0.0,2.345971563981043,0.07109004739336493,13.530805687203792,0.023696682464454978,0.0,2.037914691943128,0.0,0.023696682464454978,0.0,6.266050333846944,0.0,12.941176470588237,71.34502923976608,100.0,74.640522875817,0.0,0.15408320493066258,0.130718954248366,57.89473684210527,29.327170005136104,33.33333333333333
ORBm1,3.1016042780748663,58.12834224598931,0.21390374331550802,36.417112299465245,2.620320855614973,0.10695187165775401,2.0320855614973263,0.21390374331550802,26.31016042780749,0.21390374331550802,0.10695187165775401,1.9251336898395723,0.10695187165775401,0.21390374331550802,0.10695187165775401,4.507819687212511,50.0,5.580029368575625,84.48275862068965,100.0,72.24669603524228,3.4482758620689653,0.36798528058877644,0.5873715124816447,65.51724137931035,45.2621895124195,100.0
AOBgl,0.0,29.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,0.0,
AON,6.7599835323178254,51.70028818443804,0.3046521202140799,47.61939069575957,4.5553725813091805,0.06484149855907781,5.518731988472622,0.24701523260601072,28.86064223960478,0.130712227254014,0.05454919720049403,3.844174557431042,0.051461506792918894,0.11939069575957184,0.047344586249485385,8.811116419812071,21.283783783783782,11.589253679728532,67.38733252131547,81.08108108108108,60.60691205394774,0.9591961023142508,0.4777830864787387,0.2744936996131152,81.63824604141291,55.82298136645962,42.9054054054054
ORBvl1,1.4416775884665793,53.473132372214934,0.39318479685452157,29.095674967234604,1.310615989515072,0.0,1.1795543905635648,0.2621231979030144,20.18348623853211,0.2621231979030144,0.0,1.1795543905635648,0.0,0.2621231979030144,0.0,2.450980392156863,0.0,4.054054054054054,90.9090909090909,66.66666666666666,69.36936936936937,0.0,0.49019607843137253,0.9009009009009009,81.81818181818183,37.745098039215684,66.66666666666666
ORBl1,1.7769607843137254,69.9142156862745,0.24509803921568626,5.147058823529411,1.3480392156862746,0.0,0.061274509803921566,0.24509803921568626,3.9828431372549016,0.0,0.0,0.061274509803921566,0.0,0.0,0.0,1.9281332164767746,0.0,1.1904761904761905,75.86206896551724,100.0,77.38095238095238,0.0,0.35056967572305,0.0,3.4482758620689653,5.696757230499562,0.0
MOs2/3,1.5518812654602265,48.17601874755891,0.23434448639500066,6.069522197630517,1.231610467387059,0.024736362452805624,0.3163650566332509,0.2161176930087228,4.813175367790652,0.03384975914594454,0.024736362452805624,0.2877229527405286,0.005207655253222237,0.03384975914594454,0.005207655253222237,2.5564803804994054,10.555555555555555,5.212355212355212,79.36241610738254,92.22222222222223,79.3007293007293,1.5939597315436242,0.44860015133499087,0.5577005577005577,20.385906040268456,9.990811804129283,14.444444444444443
ORBvl2/3,1.5332608958106966,73.7655438850658,0.7243752263672582,18.14559942049982,1.2797295665821562,0.09658336351563443,0.6036460219727152,0.6157189424121695,13.557889653507182,0.19316672703126886,0.048291681757817215,0.5674272606543523,0.024145840878908607,0.15694796571290595,0.024145840878908607,1.734860883797054,13.333333333333334,3.32667997338656,83.46456692913385,85.0,74.71723220226214,6.299212598425196,0.8346972176759411,1.0645375914836992,39.37007874015748,18.379705400981997,26.666666666666668
von,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,,,0.0,,
MOs5,1.3112338114609303,67.62796895030635,0.3704563578184461,3.5339719583716076,1.1396327737793615,0.048452057698325376,0.13627141227654013,0.35026800044414386,3.015131173852039,0.06258390786033695,0.043404968354749815,0.12920548719553435,0.02018835737430224,0.060565072122906724,0.018169521636872018,1.685150081346926,13.079019073569482,3.8560411311053984,86.91301000769823,94.55040871934605,85.31848043416167,3.695150115473441,0.5179336388196487,1.7709225935447013,10.392609699769054,4.4584085854590505,16.893732970027248
AId2/3,7.752083725010967,66.49746192893402,0.23187315911512188,15.341229554427525,5.389484238892022,0.1128031584884377,3.879175283574607,0.2130726327003823,11.230181111737796,0.11907000062668421,0.10653631635019115,2.7824779093814627,0.06266842138246538,0.10653631635019115,0.05640157924421885,8.104796908868156,48.64864864864865,25.2859477124183,69.52303961196444,91.8918918918919,73.20261437908496,1.4551333872271623,0.3204222033738573,0.7761437908496732,50.04042037186742,16.888134954292717,51.35135135135135
AId5,5.7957882896956825,73.79553833656189,0.3468099731300381,10.454289820658627,4.6741236018246575,0.1312253952383928,2.046491282884459,0.29681934637255514,8.760857339248892,0.16871836530650502,0.109354496031994,1.7278010373055053,0.10310566768730862,0.14684746610010624,0.09373242517028058,6.333883737668826,37.83783783783784,19.575612671846983,80.64690026954177,85.58558558558559,83.80155409444112,2.2641509433962264,0.4022185528599856,1.6138673042438731,35.309973045822105,11.87179812862526,48.64864864864865
ORBl2/3,0.7237030667813127,80.16623674405274,0.1934651762682717,7.767268558326168,0.6592146746918888,0.014330753797649757,0.15763829177414732,0.15763829177414732,6.577815993121239,0.03582688449412439,0.0071653768988248785,0.15047291487532244,0.0,0.03582688449412439,0.0,0.8223096174472649,7.4074074074074066,2.029520295202952,91.0891089108911,81.48148148148148,84.68634686346863,1.9801980198019802,0.1966392563460851,0.46125461254612543,21.782178217821784,8.205219878441188,18.51851851851852
